id,title,manifest,canvas,license
MS-CHI-BONES-CUL-00273,剑桥大学金璋甲骨收藏 (CUL273),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00273,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00275,剑桥大学金璋甲骨收藏 (CUL275),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00275,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00276,剑桥大学金璋甲骨收藏 (CUL276),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00276,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00277,剑桥大学金璋甲骨收藏 (CUL277),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00277,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00298,剑桥大学金璋甲骨收藏 (CUL298),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00298,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00299,剑桥大学金璋甲骨收藏 (CUL299),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00299,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00319,剑桥大学金璋甲骨收藏 (CUL319),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00319,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00320,剑桥大学金璋甲骨收藏 (CUL320),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00320,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00321,剑桥大学金璋甲骨收藏 (CUL321),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00321,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00322,剑桥大学金璋甲骨收藏 (CUL322),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00322,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00323,剑桥大学金璋甲骨收藏 (CUL323),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00323,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00326,剑桥大学金璋甲骨收藏 (CUL326),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00326,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00327,剑桥大学金璋甲骨收藏 (CUL327),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00327,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00353,剑桥大学金璋甲骨收藏 (CUL353),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00353,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00359,剑桥大学金璋甲骨收藏 (CUL359),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00359,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00406,剑桥大学金璋甲骨收藏 (CUL406),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00406,6,CC BY-NC 4.0 (PD work)
