id,title,manifest,db,tw_title
arc_books-NIJL_100113424,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100113424/portal/manifest.json,arc_books,切紙
arc_books-UCB_ms2530_02,遠州流秘伝書切紙,https://www.dh-jac.net/db1/books/UCB-ms2530-02/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100068475,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100068475/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100173647,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100173647/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100224202,神道切紙並建立秘事,https://www.dh-jac.net/db1/books/NIJL-100224202/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100196783,城取口伝渡極秘切紙,https://www.dh-jac.net/db1/books/NIJL-100196783/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100010251,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100010251/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100421796,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100421796/portal/manifest.json,arc_books,切紙
THERS_da-N0001_20230901_33661,〔切紙一覧につき返書〕,https://da.adm.thers.ac.jp/iiif/1/takagi/N0001-20230901-33661/manifest.json,THERS_da,切紙
THERS_da-N0001_20230901_25614,〔連名切紙等順達添状〕,https://da.adm.thers.ac.jp/iiif/1/takagi/N0001-20230901-25614/manifest.json,THERS_da,切紙
arc_books-NIJL_100295922,古今集伝授二条冷泉両家切紙又箱伝授,https://www.dh-jac.net/db1/books/NIJL-100295922/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100421803,古今和歌集伝授切紙,https://www.dh-jac.net/db1/books/NIJL-100421803/portal/manifest.json,arc_books,切紙
keioobjecthub-11548,修験道秘決(目録題) 50通欠14通その他8通,https://dcollections.lib.keio.ac.jp/sites/default/files/iiif/KOK/132X-113-44-32/manifest.json,keioobjecthub,切紙
arc_books-NIJL_100326035,磨光韻鏡翻切口伝切紙,https://www.dh-jac.net/db1/books/NIJL-100326035/portal/manifest.json,arc_books,切紙
